Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,8.12,8.30,8.00,8.16,159800,8.16
2014-06-18,8.10,8.15,7.88,8.00,280400,8.00
2014-06-17,8.68,8.78,8.05,8.08,355000,8.08
2014-06-16,8.66,8.97,8.48,8.55,250500,8.55
2014-06-13,8.74,8.79,8.46,8.61,159100,8.61
2014-06-12,8.89,8.96,8.60,8.70,235200,8.70
2014-06-11,8.89,9.11,8.50,8.89,333500,8.89
2014-06-10,9.00,9.15,8.50,8.60,335600,8.60
2014-06-09,9.18,9.20,9.02,9.03,114100,9.03
2014-06-06,9.31,9.31,9.07,9.18,114500,9.18
2014-06-05,9.12,9.30,9.02,9.20,104500,9.20
2014-06-04,9.17,9.32,9.17,9.26,124400,9.26
2014-06-03,9.33,9.44,9.18,9.23,291700,9.23
2014-06-02,9.22,9.45,9.07,9.24,91200,9.24
2014-05-30,9.12,9.50,9.00,9.23,322800,9.23
2014-05-29,9.00,9.12,8.95,9.09,134400,9.09
2014-05-28,9.38,9.38,8.90,9.00,390000,9.00
2014-05-27,9.13,9.40,9.13,9.26,306700,9.26
2014-05-23,8.89,9.32,8.75,9.08,683700,9.08
2014-05-22,7.79,8.16,7.77,8.02,86600,8.02
2014-05-21,8.26,8.28,7.88,7.88,98700,7.88
2014-05-20,9.30,9.30,7.75,7.75,395000,7.75
2014-05-19,9.14,9.40,9.00,9.21,48900,9.21
2014-05-16,9.27,9.43,9.25,9.32,502100,9.32
2014-05-15,9.62,9.62,9.25,9.36,104500,9.36
2014-05-14,9.64,9.69,9.40,9.47,246700,9.47
2014-05-13,9.77,9.77,9.50,9.50,127900,9.50
2014-05-12,10.00,10.02,9.50,9.55,286400,9.55
2014-05-09,9.61,10.14,9.60,10.10,36300,10.10
2014-05-08,9.65,9.84,9.48,9.64,41300,9.64
2014-05-07,9.52,10.06,9.32,9.48,158600,9.48
2014-05-06,9.61,9.78,9.56,9.64,167900,9.64
2014-05-05,9.88,10.10,9.80,9.81,114300,9.81
2014-05-02,10.05,10.18,9.78,10.08,82400,10.08
2014-05-01,10.95,10.95,9.75,10.25,208500,10.25
2014-04-30,10.65,10.84,10.32,10.53,62700,10.53
2014-04-29,10.90,10.93,10.55,10.71,232000,10.71
2014-04-28,10.48,11.00,10.33,10.90,155000,10.90
2014-04-25,10.12,10.63,10.00,10.48,172200,10.48
2014-04-24,9.65,10.43,9.47,10.22,336600,10.22
2014-04-23,9.59,9.89,9.47,9.47,177800,9.47
2014-04-22,9.34,10.07,9.34,9.66,399400,9.66
2014-04-21,9.70,9.80,9.27,9.50,490300,9.50
2014-04-17,9.50,10.05,9.12,9.75,5561400,9.75
