Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,8.30,8.30,7.91,8.05,6900,8.05
2014-06-18,7.90,8.10,7.80,8.00,6700,8.00
2014-06-17,7.71,8.55,7.51,8.10,17000,8.10
2014-06-16,9.21,9.21,7.55,7.92,9700,7.92
2014-06-13,9.75,9.75,8.01,8.65,22700,8.65
2014-06-12,9.76,9.76,8.20,8.20,3500,8.20
2014-06-11,8.41,8.65,8.15,8.40,15900,8.40
2014-06-10,7.95,8.59,7.95,8.59,24000,8.59
2014-06-09,8.99,8.99,8.05,8.20,32200,8.20
2014-06-06,7.49,8.05,7.49,8.05,19200,8.05
2014-06-05,7.47,7.48,7.10,7.45,5600,7.45
2014-06-04,7.24,7.47,7.01,7.40,10600,7.40
2014-06-03,7.34,7.50,6.61,7.24,41500,7.24
2014-06-02,6.69,7.56,6.50,7.38,27800,7.38
2014-05-30,6.34,6.85,5.82,6.74,43700,6.74
2014-05-29,6.78,6.85,6.16,6.30,89500,6.30
2014-05-28,6.50,7.00,5.98,6.99,34100,6.99
2014-05-27,6.60,6.60,6.60,6.60,000,6.60
2014-05-23,6.66,6.77,6.60,6.61,3800,6.61
2014-05-22,7.00,7.15,6.65,6.85,79400,6.85
2014-05-21,7.28,7.50,6.92,7.10,19500,7.10
2014-05-20,7.15,7.25,6.75,7.24,89600,7.24
2014-05-19,6.98,7.15,6.73,7.15,58900,7.15
2014-05-16,6.92,6.95,6.61,6.71,35200,6.71
2014-05-15,6.86,7.07,6.75,6.90,41600,6.90
2014-05-14,7.10,7.20,6.75,7.09,49800,7.09
2014-05-13,6.86,7.20,6.60,7.20,40900,7.20
2014-05-12,6.80,7.11,6.80,7.05,54400,7.05
2014-05-09,6.45,6.90,6.45,6.80,35800,6.80
2014-05-08,6.34,6.51,6.34,6.50,13100,6.50
2014-05-07,6.76,6.77,6.50,6.75,74300,6.75
2014-05-06,6.96,6.98,6.75,6.98,26600,6.98
2014-05-05,6.99,7.06,6.91,7.00,26800,7.00
2014-05-02,7.00,7.44,6.88,7.00,42400,7.00
2014-05-01,7.01,7.04,6.86,7.00,111600,7.00
2014-04-30,7.50,7.50,7.00,7.05,23600,7.05
2014-04-29,7.25,7.45,7.00,7.45,59700,7.45
2014-04-28,7.82,7.82,6.81,7.40,287900,7.40
2014-04-25,7.90,7.90,6.80,7.45,634400,7.45
