Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,27.36,27.77,27.15,27.39,366700,27.39
2014-06-12,27.25,27.78,27.03,27.28,261500,27.28
2014-06-11,26.91,27.30,26.64,27.25,163700,27.25
2014-06-10,26.50,27.34,26.50,26.97,265500,26.97
2014-06-09,27.00,27.25,26.36,26.70,300500,26.70
2014-06-06,27.05,27.22,26.93,27.00,144400,27.00
2014-06-05,26.46,27.30,26.24,27.00,272400,27.00
2014-06-04,25.70,27.21,25.60,26.37,350200,26.37
2014-06-03,26.26,26.53,25.53,25.78,457900,25.78
2014-06-02,24.97,26.26,24.96,26.00,359700,26.00
2014-05-30,25.00,25.39,24.82,25.10,527500,25.10
2014-05-29,24.98,25.50,24.71,25.07,625800,25.07
2014-05-28,25.38,25.53,24.67,24.75,197600,24.75
2014-05-27,24.35,25.24,24.14,25.20,210200,25.20
2014-05-23,24.02,24.23,23.52,24.11,232600,24.11
2014-05-22,23.50,24.10,23.45,23.94,163700,23.94
2014-05-21,23.83,23.98,23.30,23.57,232300,23.57
2014-05-20,23.71,24.01,23.32,23.64,197900,23.64
2014-05-19,24.01,24.09,23.32,23.72,156500,23.72
2014-05-16,24.18,24.90,23.78,23.93,317500,23.93
2014-05-15,23.50,24.02,23.01,23.94,170900,23.94
2014-05-14,23.87,23.93,22.70,23.47,619500,23.47
2014-05-13,22.28,23.16,22.15,23.00,385800,23.00
2014-05-12,23.06,23.06,22.19,22.38,174300,22.38
2014-05-09,22.17,22.96,22.17,22.60,312500,22.60
2014-05-08,22.86,23.22,21.92,22.15,286100,22.15
2014-05-07,22.81,23.54,20.72,22.89,357900,22.89
2014-05-06,22.76,24.65,22.40,22.87,1302500,22.87
2014-05-05,21.54,22.18,21.05,21.87,259000,21.87
2014-05-02,21.44,21.74,21.23,21.70,94200,21.70
2014-05-01,21.53,21.61,20.75,21.26,285000,21.26
2014-04-30,21.36,21.67,20.87,21.45,258800,21.45
2014-04-29,21.72,21.72,20.76,21.53,138000,21.53
2014-04-28,21.49,21.90,20.65,21.72,146900,21.72
2014-04-25,21.43,21.43,20.29,21.39,107600,21.39
2014-04-24,21.55,21.94,21.11,21.47,73100,21.47
2014-04-23,22.50,22.50,20.82,21.41,246900,21.41
2014-04-22,23.32,23.32,22.24,22.56,286000,22.56
2014-04-21,21.88,23.94,21.64,23.18,401600,23.18
2014-04-17,21.14,22.30,20.86,22.00,434600,22.00
2014-04-16,20.66,21.99,20.20,21.39,617200,21.39
2014-04-15,20.60,20.60,20.04,20.47,445300,20.47
2014-04-14,20.27,20.56,19.91,20.47,152000,20.47
2014-04-11,20.32,20.50,19.71,20.32,181000,20.32
2014-04-10,20.88,20.88,19.97,20.60,180100,20.60
2014-04-09,19.18,20.79,19.14,20.76,384300,20.76
2014-04-08,19.75,19.94,18.90,19.27,529200,19.27
2014-04-07,20.24,20.66,18.81,19.74,847200,19.74
2014-04-04,20.76,21.04,19.27,20.40,626900,20.40
2014-04-03,20.85,21.25,20.30,21.01,721800,21.01
2014-04-02,22.00,22.00,20.99,21.01,287600,21.01
2014-04-01,21.37,21.70,20.28,21.30,584800,21.30
2014-03-31,23.20,23.44,20.76,21.31,1094500,21.31
2014-03-28,19.89,22.84,19.79,21.31,2944400,21.31
2014-03-27,18.50,19.45,17.28,19.10,14207100,19.10
