Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,14.47,14.55,14.06,14.26,47100,14.26
2014-06-12,13.95,14.44,13.84,14.39,36400,14.39
2014-06-11,13.67,14.08,13.67,14.07,37000,14.07
2014-06-10,13.97,13.97,13.53,13.87,39000,13.87
2014-06-09,13.61,13.99,13.35,13.94,37900,13.94
2014-06-06,14.02,14.21,13.64,13.86,38300,13.86
2014-06-05,13.63,14.06,13.45,13.90,46400,13.90
2014-06-04,13.70,13.97,13.55,13.62,21300,13.62
2014-06-03,13.83,14.06,13.71,13.83,33100,13.83
2014-06-02,13.66,14.03,13.50,13.91,31700,13.91
2014-05-30,14.11,14.34,13.62,13.78,90200,13.78
2014-05-29,14.43,14.50,13.95,14.09,41700,14.09
2014-05-28,14.05,14.48,13.91,14.32,55100,14.32
2014-05-27,14.34,14.34,14.02,14.10,40800,14.10
2014-05-23,13.58,14.28,13.57,14.12,71400,14.12
2014-05-22,13.64,13.90,13.45,13.65,74600,13.65
2014-05-21,13.84,14.04,13.48,13.71,115500,13.71
2014-05-20,13.91,14.10,13.51,13.84,121700,13.84
2014-05-19,13.97,14.42,13.71,14.02,109800,14.02
2014-05-16,13.94,14.14,13.65,14.03,73700,14.03
2014-05-15,14.30,14.69,13.64,13.87,88000,13.87
2014-05-14,13.55,13.90,13.06,13.65,81600,13.65
2014-05-13,12.85,14.12,12.80,13.64,85000,13.64
2014-05-12,13.96,14.17,13.58,13.64,113900,13.64
2014-05-09,13.63,13.92,13.33,13.88,54900,13.88
2014-05-08,13.65,14.32,13.51,13.63,58500,13.63
2014-05-07,14.15,14.31,13.55,13.74,101600,13.74
2014-05-06,14.46,15.06,14.17,14.48,94200,14.48
2014-05-05,13.72,14.71,13.56,14.53,86800,14.53
2014-05-02,14.43,14.49,13.75,13.88,60400,13.88
2014-05-01,14.42,14.85,13.91,14.35,108800,14.35
2014-04-30,14.21,14.71,13.50,14.39,116000,14.39
2014-04-29,13.43,14.50,12.86,14.32,161100,14.32
2014-04-28,13.94,15.54,12.51,13.37,104800,13.37
2014-04-25,14.15,14.66,13.40,13.81,117900,13.81
2014-04-24,15.49,16.06,13.75,14.20,123800,14.20
2014-04-23,16.58,17.55,15.20,15.35,119700,15.35
2014-04-22,15.00,17.50,15.00,16.72,169300,16.72
2014-04-21,13.30,15.00,13.00,14.93,115900,14.93
2014-04-17,13.56,13.91,13.33,13.38,79600,13.38
2014-04-16,14.00,14.30,13.54,13.64,81500,13.64
2014-04-15,15.61,15.70,13.67,13.82,201600,13.82
2014-04-14,15.86,16.22,15.44,15.48,89900,15.48
2014-04-11,16.97,17.17,15.19,15.48,176200,15.48
2014-04-10,18.30,18.37,17.03,17.08,148000,17.08
2014-04-09,18.44,18.62,17.99,18.30,255100,18.30
2014-04-08,17.71,18.39,17.23,18.29,124200,18.29
2014-04-07,18.33,18.74,17.34,17.60,116300,17.60
2014-04-04,18.92,19.25,17.53,18.50,204900,18.50
2014-04-03,20.00,20.00,18.11,18.77,219700,18.77
2014-04-02,19.42,20.70,19.22,19.97,338300,19.97
2014-04-01,18.80,20.00,18.23,19.25,234600,19.25
2014-03-31,16.40,18.93,16.08,18.61,971600,18.61
2014-03-28,17.31,17.31,16.10,16.52,317000,16.52
2014-03-27,16.85,17.74,15.50,17.31,352600,17.31
2014-03-26,16.95,18.22,16.72,16.97,244900,16.97
2014-03-25,16.50,17.88,16.50,16.89,156700,16.89
2014-03-24,17.28,17.28,15.40,16.52,198200,16.52
2014-03-21,18.47,19.20,16.91,17.15,317200,17.15
2014-03-20,18.89,19.23,17.56,18.13,131300,18.13
2014-03-19,20.35,20.40,18.66,19.05,215800,19.05
2014-03-18,18.97,20.25,18.55,19.95,198700,19.95
2014-03-17,17.79,19.48,16.62,18.50,360500,18.50
2014-03-14,18.22,19.09,17.00,17.26,302200,17.26
2014-03-13,20.03,20.23,18.19,18.43,297400,18.43
2014-03-12,20.19,20.45,19.26,20.00,176200,20.00
2014-03-11,20.73,21.65,19.93,20.07,349800,20.07
2014-03-10,19.83,20.32,18.92,20.17,195200,20.17
2014-03-07,21.79,21.87,19.39,20.00,230700,20.00
2014-03-06,22.60,22.99,20.22,21.19,393000,21.19
2014-03-05,22.44,23.25,22.01,22.49,327400,22.49
2014-03-04,22.71,23.24,21.46,21.86,519300,21.86
2014-03-03,18.49,22.94,18.10,21.28,657300,21.28
2014-02-28,18.09,21.22,18.00,18.88,1066700,18.88
2014-02-27,16.28,18.31,15.92,17.36,693600,17.36
2014-02-26,15.23,15.87,14.73,15.45,315300,15.45
2014-02-25,15.32,15.75,14.70,14.90,474700,14.90
2014-02-24,15.29,15.69,14.20,14.48,205300,14.48
2014-02-21,14.47,15.60,14.00,15.00,421700,15.00
2014-02-20,13.26,14.29,12.08,13.91,232600,13.91
2014-02-19,14.00,14.17,13.15,13.26,76700,13.26
2014-02-18,13.21,14.18,13.11,13.86,170400,13.86
2014-02-14,13.40,13.88,13.05,13.24,72700,13.24
2014-02-13,13.01,13.90,12.98,13.49,35000,13.49
2014-02-12,13.18,13.95,12.36,13.39,95900,13.39
2014-02-11,14.00,15.00,12.70,13.15,389300,13.15
2014-02-10,12.00,14.09,12.00,13.68,261800,13.68
2014-02-07,11.15,12.04,11.15,11.84,36300,11.84
2014-02-06,10.70,11.73,10.67,11.67,55900,11.67
2014-02-05,11.53,11.60,10.40,10.60,217300,10.60
2014-02-04,12.50,12.57,11.34,11.74,186200,11.74
2014-02-03,12.90,13.70,12.50,12.63,230400,12.63
2014-01-31,11.62,14.15,11.26,12.91,2016200,12.91
